pub_decay_time,data_decay_time,diff,alpha,corr
1,1,0,0.15,0.316657755
1,5,4,0.15,0.30132543
1,20,19,0.15,0.301406242
5,1,-4,0.15,0.333861383
5,5,0,0.15,0.32901945
5,20,15,0.15,0.329607277
20,1,-19,0.15,0.340969387
20,5,-15,0.15,0.338489331
20,20,0,0.15,0.33900089
1,1,0,0.25,0.314966392
1,5,4,0.25,0.296695498
1,20,19,0.25,0.296506586
5,1,-4,0.25,0.3328177
5,5,0,0.25,0.326864083
5,20,15,0.25,0.327492518
20,1,-19,0.25,0.340753178
20,5,-15,0.25,0.337711198
20,20,0,0.25,0.33830604
