delta,genbank_correlation,figshare_correlation
-19,0.147436293,-0.058875332
-19,0.103763088,-0.052610318
-15,0.098642849,-0.036518484
-15,-0.018755833,-0.026042331
-4,0.094118432,-0.029241102
-4,-0.021115415,-0.028432567
0,-0.063732852,-0.000869209
0,-0.068414149,-0.008298155
0,-0.044793364,0.008784579
0,-0.159568118,0.010656568
0,0.081108723,-0.042581416
0,-0.055297737,-0.0413107
4,-0.176942822,0.044279167
4,-0.177369237,0.034809878
15,-0.084881322,0.003771353
15,-0.213713494,0.008851139
19,-0.238900148,0.091606957
19,-0.239405289,0.072824816
